matchId,seasonId,competitionId,stage,groupCode,matchday,homeTeamId,awayTeamId,homeSource,awaySource,kickoffAt,venue,status,homeScore,awayScore,winnerTeamId,resultSource,resultLastUpdatedAt,sourceId,sourceLastCheckedAt,dataQuality
wc2026-ga-01,fifa-world-cup-2026,fifa-world-cup,group,A,1,wc2026-mexico,wc2026-south-africa,A1,A2,,,scheduled,,,,,,wiki_group_a,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ga-02,fifa-world-cup-2026,fifa-world-cup,group,A,2,wc2026-south-korea,wc2026-czechia,A3,A4,,,scheduled,,,,,,wiki_group_a,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ga-03,fifa-world-cup-2026,fifa-world-cup,group,A,3,wc2026-czechia,wc2026-south-africa,A4,A2,,,scheduled,,,,,,wiki_group_a,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ga-04,fifa-world-cup-2026,fifa-world-cup,group,A,4,wc2026-mexico,wc2026-south-korea,A1,A3,,,scheduled,,,,,,wiki_group_a,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ga-05,fifa-world-cup-2026,fifa-world-cup,group,A,5,wc2026-czechia,wc2026-mexico,A4,A1,,,scheduled,,,,,,wiki_group_a,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ga-06,fifa-world-cup-2026,fifa-world-cup,group,A,6,wc2026-south-africa,wc2026-south-korea,A2,A3,,,scheduled,,,,,,wiki_group_a,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gb-01,fifa-world-cup-2026,fifa-world-cup,group,B,1,wc2026-canada,wc2026-bosnia-and-herzegovina,B1,B2,,,scheduled,,,,,,wiki_group_b,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gb-02,fifa-world-cup-2026,fifa-world-cup,group,B,2,wc2026-qatar,wc2026-switzerland,B3,B4,,,scheduled,,,,,,wiki_group_b,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gb-03,fifa-world-cup-2026,fifa-world-cup,group,B,3,wc2026-switzerland,wc2026-bosnia-and-herzegovina,B4,B2,,,scheduled,,,,,,wiki_group_b,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gb-04,fifa-world-cup-2026,fifa-world-cup,group,B,4,wc2026-canada,wc2026-qatar,B1,B3,,,scheduled,,,,,,wiki_group_b,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gb-05,fifa-world-cup-2026,fifa-world-cup,group,B,5,wc2026-switzerland,wc2026-canada,B4,B1,,,scheduled,,,,,,wiki_group_b,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gb-06,fifa-world-cup-2026,fifa-world-cup,group,B,6,wc2026-bosnia-and-herzegovina,wc2026-qatar,B2,B3,,,scheduled,,,,,,wiki_group_b,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gc-01,fifa-world-cup-2026,fifa-world-cup,group,C,1,wc2026-brazil,wc2026-morocco,C1,C2,,,scheduled,,,,,,wiki_group_c,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gc-02,fifa-world-cup-2026,fifa-world-cup,group,C,2,wc2026-haiti,wc2026-scotland,C3,C4,,,scheduled,,,,,,wiki_group_c,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gc-03,fifa-world-cup-2026,fifa-world-cup,group,C,3,wc2026-scotland,wc2026-morocco,C4,C2,,,scheduled,,,,,,wiki_group_c,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gc-04,fifa-world-cup-2026,fifa-world-cup,group,C,4,wc2026-brazil,wc2026-haiti,C1,C3,,,scheduled,,,,,,wiki_group_c,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gc-05,fifa-world-cup-2026,fifa-world-cup,group,C,5,wc2026-scotland,wc2026-brazil,C4,C1,,,scheduled,,,,,,wiki_group_c,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gc-06,fifa-world-cup-2026,fifa-world-cup,group,C,6,wc2026-morocco,wc2026-haiti,C2,C3,,,scheduled,,,,,,wiki_group_c,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gd-01,fifa-world-cup-2026,fifa-world-cup,group,D,1,wc2026-united-states,wc2026-paraguay,D1,D2,,,scheduled,,,,,,wiki_group_d,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gd-02,fifa-world-cup-2026,fifa-world-cup,group,D,2,wc2026-australia,wc2026-turkey,D3,D4,,,scheduled,,,,,,wiki_group_d,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gd-03,fifa-world-cup-2026,fifa-world-cup,group,D,3,wc2026-turkey,wc2026-paraguay,D4,D2,,,scheduled,,,,,,wiki_group_d,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gd-04,fifa-world-cup-2026,fifa-world-cup,group,D,4,wc2026-united-states,wc2026-australia,D1,D3,,,scheduled,,,,,,wiki_group_d,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gd-05,fifa-world-cup-2026,fifa-world-cup,group,D,5,wc2026-turkey,wc2026-united-states,D4,D1,,,scheduled,,,,,,wiki_group_d,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gd-06,fifa-world-cup-2026,fifa-world-cup,group,D,6,wc2026-paraguay,wc2026-australia,D2,D3,,,scheduled,,,,,,wiki_group_d,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ge-01,fifa-world-cup-2026,fifa-world-cup,group,E,1,wc2026-germany,wc2026-curacao,E1,E2,,,scheduled,,,,,,wiki_group_e,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ge-02,fifa-world-cup-2026,fifa-world-cup,group,E,2,wc2026-ivory-coast,wc2026-ecuador,E3,E4,,,scheduled,,,,,,wiki_group_e,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ge-03,fifa-world-cup-2026,fifa-world-cup,group,E,3,wc2026-ecuador,wc2026-curacao,E4,E2,,,scheduled,,,,,,wiki_group_e,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ge-04,fifa-world-cup-2026,fifa-world-cup,group,E,4,wc2026-germany,wc2026-ivory-coast,E1,E3,,,scheduled,,,,,,wiki_group_e,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ge-05,fifa-world-cup-2026,fifa-world-cup,group,E,5,wc2026-ecuador,wc2026-germany,E4,E1,,,scheduled,,,,,,wiki_group_e,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-ge-06,fifa-world-cup-2026,fifa-world-cup,group,E,6,wc2026-curacao,wc2026-ivory-coast,E2,E3,,,scheduled,,,,,,wiki_group_e,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gf-01,fifa-world-cup-2026,fifa-world-cup,group,F,1,wc2026-netherlands,wc2026-japan,F1,F2,,,scheduled,,,,,,wiki_group_f,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gf-02,fifa-world-cup-2026,fifa-world-cup,group,F,2,wc2026-sweden,wc2026-tunisia,F3,F4,,,scheduled,,,,,,wiki_group_f,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gf-03,fifa-world-cup-2026,fifa-world-cup,group,F,3,wc2026-tunisia,wc2026-japan,F4,F2,,,scheduled,,,,,,wiki_group_f,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gf-04,fifa-world-cup-2026,fifa-world-cup,group,F,4,wc2026-netherlands,wc2026-sweden,F1,F3,,,scheduled,,,,,,wiki_group_f,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gf-05,fifa-world-cup-2026,fifa-world-cup,group,F,5,wc2026-tunisia,wc2026-netherlands,F4,F1,,,scheduled,,,,,,wiki_group_f,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gf-06,fifa-world-cup-2026,fifa-world-cup,group,F,6,wc2026-japan,wc2026-sweden,F2,F3,,,scheduled,,,,,,wiki_group_f,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gg-01,fifa-world-cup-2026,fifa-world-cup,group,G,1,wc2026-belgium,wc2026-egypt,G1,G2,,,scheduled,,,,,,wiki_group_g,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gg-02,fifa-world-cup-2026,fifa-world-cup,group,G,2,wc2026-iran,wc2026-new-zealand,G3,G4,,,scheduled,,,,,,wiki_group_g,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gg-03,fifa-world-cup-2026,fifa-world-cup,group,G,3,wc2026-new-zealand,wc2026-egypt,G4,G2,,,scheduled,,,,,,wiki_group_g,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gg-04,fifa-world-cup-2026,fifa-world-cup,group,G,4,wc2026-belgium,wc2026-iran,G1,G3,,,scheduled,,,,,,wiki_group_g,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
wc2026-gg-05,fifa-world-cup-2026,fifa-world-cup,group,G,5,wc2026-new-zealand,wc2026-belgium,G4,G1,,,scheduled,,,,,,wiki_group_g,2026-05-23,pairing_verified_from_group_pages; kickoff_and_venue_not_included
